Country,Term to be used in the config file
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,Andorra
Angola,Angola
Antigua And Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
B,
Bahamas,The Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Brunei Darussalam,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
C,
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,Cabo Verde
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
Congo,Republic of the Congo
Cook Islands,Cook Islands
Costa Rica,Costa Rica
Côte d'Ivoire,Ivory Coast
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czech Republic,Czechia
D,
Democratic Peoples Republic of Korea,North Korea
Democratic Republic of the Congo,Democratic Republic of the Congo
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
E,
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
F,
Fiji,Fiji
Finland,Finland
France,France
G,
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Grenada,Grenada
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
H,
Haiti,Haiti
Honduras,Honduras
Hungary,Hungary
I,
Iceland,Iceland
India,India
Indonesia,Indonesia
"Iran, Islamic Republic of",Iran
Iraq,Iraq
Ireland,Ireland
Italy,Italy
J,
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
K,
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
"Korea, Republic of",South Korea
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
L,
Lao People's Democratic Republic,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Lithuania,Lithuania
Luxembourg,Luxembourg
M,
"Macedonia, the former Yugoslav Republic of",Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Marshall Islands
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
"Micronesia, Federated States of",Federated States of Micronesia
"Moldova, Republic of",Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Mozambique,Mozambique
Myanmar,Myanmar
N,
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
Norway,Norway
O,
Oman,Oman
P,
Pakistan,Pakistan
Palau,Palau
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Q,
Qatar,Qatar
R,
Romania,Romania
Russian Federation,Russia
Rwanda,Rwanda
S,
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
San Marino,San Marino
Sao Tome And Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
Somalia,Somalia
Solomon Islands,Solomon Islands
South Africa,South Africa
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
South Sudan,South Sudan
Suriname,Suriname
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syrian Arab Republic,Syria
T,
"Tanzania, United Republic of",Tanzania
Tajikistan,Tajikistan
Thailand,Thailand
Timor-Leste,East Timor
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
U,
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States of America,United States of America
Uruguay,Uruguay
Uzbekistan,Uzbekistan
V,
Vanuatu,Vanuatu
Venezuela,Venezuela
Viet Nam,Vietnam
Y,
Yemen,Yemen
Z,
Zambia,Zambia
Zimbabwe,Zimbabwe
